date,mean_abs_correlation_60d,connectedness_60d
2020-06-18,0.19068489201666244,0.19068489201666244
2020-06-19,0.1880666209462597,0.1880666209462597
2020-06-22,0.19521170030366547,0.19521170030366547
2020-06-23,0.18636852410864443,0.18636852410864443
2020-06-24,0.19055584278494692,0.19055584278494692
2020-06-25,0.1999788313487966,0.1999788313487966
2020-06-26,0.19150450713882955,0.19150450713882955
2020-06-29,0.18470480604149073,0.18470480604149073
2020-06-30,0.1976244969872473,0.1976244969872473
2020-07-01,0.19856287401074524,0.19856287401074524
2020-07-02,0.20579799490980305,0.20579799490980305
2020-07-03,0.20384040912151574,0.20384040912151574
2020-07-06,0.20267260786501043,0.20267260786501043
2020-07-07,0.20329815539152718,0.20329815539152718
2020-07-08,0.2141561382162504,0.2141561382162504
2020-07-09,0.21205254589279404,0.21205254589279404
2020-07-10,0.21592028309648392,0.21592028309648392
2020-07-13,0.2218033774397799,0.2218033774397799
2020-07-14,0.20997093157641808,0.20997093157641808
2020-07-15,0.20615737108873425,0.20615737108873425
2020-07-16,0.2032403025296104,0.2032403025296104
2020-07-17,0.21731278900085976,0.21731278900085976
2020-07-20,0.21781234260132437,0.21781234260132437
2020-07-21,0.22030407183378958,0.22030407183378958
2020-07-22,0.2199760289593766,0.2199760289593766
2020-07-23,0.22333623821754195,0.22333623821754195
2020-07-24,0.2200116126575344,0.2200116126575344
2020-07-27,0.23301792671947233,0.23301792671947233
2020-07-28,0.19885485656480148,0.19885485656480148
2020-07-29,0.19875435246741752,0.19875435246741752
2020-07-30,0.20488952061535307,0.20488952061535307
2020-07-31,0.21150105173964015,0.21150105173964015
2020-08-03,0.20542314940420134,0.20542314940420134
2020-08-04,0.1998434158374039,0.1998434158374039
2020-08-05,0.20683788543605056,0.20683788543605056
2020-08-06,0.2053787888250072,0.2053787888250072
2020-08-07,0.2248432681674839,0.2248432681674839
2020-08-10,0.22689602945814025,0.22689602945814025
2020-08-11,0.21536638286169923,0.21536638286169923
2020-08-12,0.21071818136812995,0.21071818136812995
2020-08-13,0.21305163904556962,0.21305163904556962
2020-08-14,0.209041048996016,0.209041048996016
2020-08-17,0.21103149495530887,0.21103149495530887
2020-08-18,0.2138847008413571,0.2138847008413571
2020-08-19,0.22318001147226876,0.22318001147226876
2020-08-20,0.2273187441354793,0.2273187441354793
2020-08-21,0.22660095910132244,0.22660095910132244
2020-08-24,0.23352805470498433,0.23352805470498433
2020-08-25,0.233983623982497,0.233983623982497
2020-08-26,0.23114243581788338,0.23114243581788338
2020-08-27,0.23110710076567895,0.23110710076567895
2020-08-28,0.22587385292655848,0.22587385292655848
2020-08-31,0.21217540271876764,0.21217540271876764
2020-09-01,0.2141672401517328,0.2141672401517328
2020-09-02,0.2102846580668664,0.2102846580668664
2020-09-03,0.2009284635058374,0.2009284635058374
2020-09-04,0.19420838877944488,0.19420838877944488
2020-09-07,0.20325894378110837,0.20325894378110837
2020-09-08,0.1911116391908362,0.1911116391908362
2020-09-09,0.1980834110325573,0.1980834110325573
2020-09-10,0.1972996280948714,0.1972996280948714
2020-09-11,0.1949135933308972,0.1949135933308972
2020-09-14,0.19648495866963736,0.19648495866963736
2020-09-15,0.1998820197356875,0.1998820197356875
2020-09-16,0.19411901709902551,0.19411901709902551
2020-09-17,0.18592167031696977,0.18592167031696977
2020-09-18,0.17983491029740722,0.17983491029740722
2020-09-21,0.20365996675543607,0.20365996675543607
2020-09-22,0.20411731496408683,0.20411731496408683
2020-09-23,0.2062658958686645,0.2062658958686645
2020-09-24,0.20008063044196384,0.20008063044196384
2020-09-25,0.20479703845776412,0.20479703845776412
2020-09-28,0.21089370806827776,0.21089370806827776
2020-09-29,0.2082301125799206,0.2082301125799206
2020-09-30,0.20778653841079392,0.20778653841079392
2020-10-01,0.21201016235344528,0.21201016235344528
2020-10-05,0.21554643946481833,0.21554643946481833
2020-10-06,0.21235029022178284,0.21235029022178284
2020-10-07,0.21030074085791467,0.21030074085791467
2020-10-08,0.21175187863455025,0.21175187863455025
2020-10-09,0.21322746533917059,0.21322746533917059
2020-10-12,0.20745875201870137,0.20745875201870137
2020-10-13,0.2028743305354927,0.2028743305354927
2020-10-14,0.2004357029165582,0.2004357029165582
2020-10-15,0.20579816504211937,0.20579816504211937
2020-10-16,0.20890942161048948,0.20890942161048948
2020-10-19,0.20732649768383643,0.20732649768383643
2020-10-20,0.20721103191219395,0.20721103191219395
2020-10-21,0.20563390064173298,0.20563390064173298
2020-10-22,0.20634195823724027,0.20634195823724027
2020-10-23,0.20233149566527564,0.20233149566527564
2020-10-26,0.21427334845083632,0.21427334845083632
2020-10-27,0.21799587005152438,0.21799587005152438
2020-10-28,0.242325335736047,0.242325335736047
2020-10-29,0.23707806280112037,0.23707806280112037
2020-10-30,0.2328673685925754,0.2328673685925754
2020-11-02,0.23410442745925594,0.23410442745925594
2020-11-03,0.24161639068858637,0.24161639068858637
2020-11-04,0.2541997230190506,0.2541997230190506
2020-11-05,0.2648648083393758,0.2648648083393758
2020-11-06,0.25831316738087906,0.25831316738087906
2020-11-09,0.24259016127782693,0.24259016127782693
2020-11-10,0.2359887393387928,0.2359887393387928
2020-11-11,0.23504768390190295,0.23504768390190295
2020-11-12,0.2320515359401662,0.2320515359401662
2020-11-13,0.2335322797692894,0.2335322797692894
2020-11-17,0.23529121401626618,0.23529121401626618
2020-11-18,0.2323295210799798,0.2323295210799798
2020-11-19,0.23175823891501057,0.23175823891501057
2020-11-20,0.23391701447567884,0.23391701447567884
2020-11-23,0.23377445583904122,0.23377445583904122
2020-11-24,0.2303341990251602,0.2303341990251602
2020-11-25,0.21933563236349793,0.21933563236349793
2020-11-26,0.21785437271580715,0.21785437271580715
2020-11-27,0.2283806100664029,0.2283806100664029
